offer_id,title,product_name,short_description,conditions,offer_category,offer_AOV,offer_cost
0,Special offer 0,Product for category_0,Save on category_0 with our limited-time deal.,Valid for 14 days after receiving the offer. Minimum order 3000 RUB.,category_0,3000,600
2,Special offer 2,Product for category_0,Save on category_0 with our limited-time deal.,Valid for 14 days after receiving the offer. Minimum order 3100 RUB.,category_0,3100,800
1,Special offer 1,Product for category_0,Save on category_0 with our limited-time deal.,Valid for 14 days after receiving the offer. Minimum order 3200 RUB.,category_0,3200,560
1,Special offer 1,Product for category_8,Save on category_8 with our limited-time deal.,Valid for 14 days after receiving the offer. Minimum order 3200 RUB.,category_8,3200,720
2,Special offer 2,Product for category_8,Save on category_8 with our limited-time deal.,Valid for 14 days after receiving the offer. Minimum order 2900 RUB.,category_8,2900,700
0,Special offer 0,Product for category_8,Save on category_8 with our limited-time deal.,Valid for 14 days after receiving the offer. Minimum order 2900 RUB.,category_8,2900,600
1,Special offer 1,Product for category_1,Save on category_1 with our limited-time deal.,Valid for 14 days after receiving the offer. Minimum order 2900 RUB.,category_1,2900,810
0,Special offer 0,Product for category_7,Save on category_7 with our limited-time deal.,Valid for 14 days after receiving the offer. Minimum order 3000 RUB.,category_7,3000,790
2,Special offer 2,Product for category_4,Save on category_4 with our limited-time deal.,Valid for 14 days after receiving the offer. Minimum order 3000 RUB.,category_4,3000,890
1,Special offer 1,Product for category_4,Save on category_4 with our limited-time deal.,Valid for 14 days after receiving the offer. Minimum order 2900 RUB.,category_4,2900,860
0,Special offer 0,Product for category_1,Save on category_1 with our limited-time deal.,Valid for 14 days after receiving the offer. Minimum order 3100 RUB.,category_1,3100,530
2,Special offer 2,Product for category_1,Save on category_1 with our limited-time deal.,Valid for 14 days after receiving the offer. Minimum order 3100 RUB.,category_1,3100,660
0,Special offer 0,Product for category_4,Save on category_4 with our limited-time deal.,Valid for 14 days after receiving the offer. Minimum order 3100 RUB.,category_4,3100,910
2,Special offer 2,Product for category_7,Save on category_7 with our limited-time deal.,Valid for 14 days after receiving the offer. Minimum order 3000 RUB.,category_7,3000,520
1,Special offer 1,Product for category_6,Save on category_6 with our limited-time deal.,Valid for 14 days after receiving the offer. Minimum order 2900 RUB.,category_6,2900,620
2,Special offer 2,Product for category_6,Save on category_6 with our limited-time deal.,Valid for 14 days after receiving the offer. Minimum order 2800 RUB.,category_6,2800,540
0,Special offer 0,Product for category_2,Save on category_2 with our limited-time deal.,Valid for 14 days after receiving the offer. Minimum order 3100 RUB.,category_2,3100,820
2,Special offer 2,Product for category_2,Save on category_2 with our limited-time deal.,Valid for 14 days after receiving the offer. Minimum order 3000 RUB.,category_2,3000,640
1,Special offer 1,Product for category_2,Save on category_2 with our limited-time deal.,Valid for 14 days after receiving the offer. Minimum order 3100 RUB.,category_2,3100,750
1,Special offer 1,Product for category_5,Save on category_5 with our limited-time deal.,Valid for 14 days after receiving the offer. Minimum order 2900 RUB.,category_5,2900,530
0,Special offer 0,Product for category_5,Save on category_5 with our limited-time deal.,Valid for 14 days after receiving the offer. Minimum order 2900 RUB.,category_5,2900,780
2,Special offer 2,Product for category_5,Save on category_5 with our limited-time deal.,Valid for 14 days after receiving the offer. Minimum order 2800 RUB.,category_5,2800,560
0,Special offer 0,Product for category_6,Save on category_6 with our limited-time deal.,Valid for 14 days after receiving the offer. Minimum order 2900 RUB.,category_6,2900,550
1,Special offer 1,Product for category_7,Save on category_7 with our limited-time deal.,Valid for 14 days after receiving the offer. Minimum order 3200 RUB.,category_7,3200,750
0,Special offer 0,Product for category_3,Save on category_3 with our limited-time deal.,Valid for 14 days after receiving the offer. Minimum order 3200 RUB.,category_3,3200,670
2,Special offer 2,Product for category_3,Save on category_3 with our limited-time deal.,Valid for 14 days after receiving the offer. Minimum order 3100 RUB.,category_3,3100,840
1,Special offer 1,Product for category_3,Save on category_3 with our limited-time deal.,Valid for 14 days after receiving the offer. Minimum order 2800 RUB.,category_3,2800,930
