iter	Passed	Remaining
0	67	20206
1	73	10926
2	79	7860
3	84	6243
4	88	5242
5	95	4691
6	103	4331
7	110	4018
8	117	3784
9	124	3613
10	130	3424
11	136	3285
12	143	3174
13	150	3067
14	154	2944
15	159	2836
16	166	2773
17	173	2718
18	180	2672
19	188	2643
20	195	2603
21	201	2540
22	207	2496
23	213	2457
24	219	2409
25	223	2360
26	230	2332
27	233	2270
28	241	2257
29	248	2232
30	254	2210
31	260	2185
32	269	2178
33	276	2165
34	284	2157
35	292	2145
36	301	2143
37	310	2137
38	317	2125
39	323	2103
40	329	2082
41	335	2063
42	342	2044
43	349	2030
44	355	2015
45	359	1984
46	363	1954
47	369	1942
48	376	1929
49	383	1915
50	390	1908
51	398	1902
52	405	1890
53	412	1877
54	418	1862
55	424	1847
56	429	1832
57	436	1822
58	442	1808
59	451	1804
60	458	1795
61	464	1782
62	471	1774
63	477	1759
64	483	1749
65	491	1743
66	498	1733
67	506	1728
68	514	1720
69	520	1709
70	526	1698
71	533	1690
72	539	1678
73	546	1669
74	553	1659
75	560	1652
76	566	1640
77	573	1631
78	579	1622
79	585	1609
80	591	1597
81	598	1592
82	606	1586
83	611	1573
84	619	1566
85	625	1557
86	633	1550
87	639	1540
88	646	1531
89	653	1525
90	660	1516
91	666	1505
92	672	1497
93	679	1489
94	686	1480
95	693	1474
96	702	1470
97	708	1461
98	717	1456
99	724	1448
100	732	1442
101	738	1434
102	745	1426
103	753	1420
104	761	1413
105	767	1405
106	776	1399
107	782	1390
108	789	1383
109	796	1375
110	803	1367
111	810	1360
112	818	1354
113	825	1346
114	833	1340
115	839	1331
116	846	1324
117	852	1315
118	859	1307
119	866	1299
120	874	1293
121	882	1287
122	889	1280
123	896	1272
124	903	1264
125	910	1257
126	917	1249
127	924	1242
128	930	1233
129	938	1226
130	944	1219
131	951	1210
132	958	1203
133	965	1195
134	971	1187
135	978	1179
136	985	1172
137	991	1164
138	999	1157
139	1006	1150
140	1014	1144
141	1022	1137
142	1029	1130
143	1036	1122
144	1042	1114
145	1049	1106
146	1056	1099
147	1062	1091
148	1070	1084
149	1076	1076
150	1083	1068
151	1091	1062
152	1097	1054
153	1103	1046
154	1110	1039
155	1117	1031
156	1124	1024
157	1130	1016
158	1136	1007
159	1142	999
160	1149	992
161	1161	989
162	1167	981
163	1175	974
164	1183	968
165	1189	960
166	1198	954
167	1205	947
168	1214	941
169	1222	934
170	1231	928
171	1237	920
172	1244	913
173	1250	905
174	1256	897
175	1263	890
176	1269	882
177	1276	874
178	1282	867
179	1289	859
180	1297	852
181	1303	844
182	1309	837
183	1316	829
184	1323	822
185	1330	815
186	1337	807
187	1343	800
188	1349	792
189	1356	785
190	1363	778
191	1371	771
192	1378	764
193	1385	756
194	1392	749
195	1398	742
196	1405	734
197	1412	727
198	1425	723
199	1432	716
200	1439	708
201	1446	701
202	1452	694
203	1459	686
204	1465	679
205	1472	671
206	1478	664
207	1485	657
208	1491	649
209	1498	642
210	1505	634
211	1512	627
212	1519	620
213	1526	613
214	1532	606
215	1540	599
216	1547	591
217	1555	585
218	1562	577
219	1568	570
220	1575	563
221	1582	555
222	1589	548
223	1595	541
224	1602	534
225	1609	526
226	1616	519
227	1623	512
228	1630	505
229	1636	498
230	1643	491
231	1651	484
232	1658	476
233	1665	469
234	1672	462
235	1679	455
236	1686	448
237	1693	441
238	1699	433
239	1706	426
240	1713	419
241	1720	412
242	1730	405
243	1738	399
244	1745	391
245	1751	384
246	1758	377
247	1765	370
248	1772	363
249	1778	355
250	1784	348
251	1792	341
252	1798	334
253	1805	327
254	1812	319
255	1819	312
256	1826	305
257	1833	298
258	1840	291
259	1846	284
260	1852	276
261	1859	269
262	1865	262
263	1872	255
264	1879	248
265	1886	241
266	1897	234
267	1904	227
268	1911	220
269	1918	213
270	1925	206
271	1932	198
272	1939	191
273	1945	184
274	1952	177
275	1958	170
276	1965	163
277	1972	156
278	1982	149
279	1988	142
280	1998	135
281	2005	128
282	2013	120
283	2020	113
284	2027	106
285	2034	99
286	2041	92
287	2048	85
288	2054	78
289	2061	71
290	2067	63
291	2074	56
292	2080	49
293	2087	42
294	2094	35
295	2100	28
296	2108	21
297	2114	14
298	2121	7
299	2128	0
